male_waiting_time,female_waiting_time
111.73,178.59
91.51,101.43
75.79,155.62
5.32,51.41
138.89,30.5
5.82,128.57
143.38,12.74
109.36,80.27
195.18,131.72
144.92,30.78
190.16,123.59
134.26,90.28
99.01,28.4
156.17,17.43
137.02,20.49
55.96,88.46
42.69,17.66
110.9,77.39
195.79,124.05
104.95,175.11
167.37,193.99
88.85,83.62
150.02,28.86
117.81,43.66
124.19,104.22
23.52,35.18
120.14,91.88
28.34,86.28
86.61,124.94
199.42,125.41
123.43,6.69
149.19,42.65
162.18,178.41
4.4,97.28
173.19,134.77
85.82,44.11
30.74,73.48
188.97,157.71
112.31,115.94
171.33,150.91
115.28,17.62
56.37,135.95
197.26,137.92
110.78,99.28
147.82,123.58
154.51,193.81
95.44,100.15
6.11,162.16
6.28,49.24
5.73,47.7
5.99,11.71
169.06,161.66
191.03,188.87
54.6,16.21
25.22,83.87
133.3,143.09
198.6,12.29
163.99,102.93
104.03,133.51
77.72,155.96
46.39,30.23
56.58,166.58
83.67,46.72
118.37,157.68
98.24,38.05
66.48,169.95
123.99,169.28
149.91,139.23
176.33,34.28
53.46,172.27
131.55,61.97
143.22,150.8
63.33,169.29
38.19,127.09
193.44,180.37
166.81,158.55
113.54,188.52
164.51,134.22
98.59,100.4
112.36,23.16
136.36,159.46
71.73,129.25
32.96,104.3
67.57,46.81
19.01,71.43
160.43,190.12
123.65,149.05
153.29,73.95
15.82,69.99
14.75,8.56
1.11,170.26
87.2,112.56
145.04,91.42
1.94,49.32
129.86,155.09
61.43,12.49
107.83,136.05
166.59,59.88
120.47,5.02
27.19,79.12
15.89,167.66
63.19,45.73
33.83,106.92
114.3,124.08
159.81,114.55
71.68,150.08
100.05,64.04
195.12,89.58
155.0,153.42
174.42,193.98
124.96,18.13
24.46,173.84
33.23,5.02
29.45,57.12
77.71,66.5
173.85,111.04
31.04,112.28
66.29,55.75
33.16,55.12
184.33,95.73
160.27,165.42
67.48,131.51
116.0,86.33
42.68,135.87
164.2,189.59
17.91,109.94
189.04,52.04
175.03,22.73
161.79,99.1
86.98,129.88
85.29,171.02
188.31,95.93
188.78,117.68
4.8,32.51
181.4,89.11
2.44,74.42
67.35,169.39
124.43,79.29
91.06,169.28
79.66,100.52
113.18,20.42
16.0,158.62
141.81,155.43
189.52,197.98
167.96,156.42
172.98,150.45
50.64,127.96
137.92,99.25
171.17,24.76
165.64,142.66
76.36,23.89
66.73,183.45
4.27,133.02
47.75,64.22
25.71,20.85
15.09,57.86
185.89,116.27
10.76,141.8
175.07,57.51
19.95,159.94
152.52,16.35
33.45,37.39
17.52,197.66
144.79,130.64
54.03,46.07
116.02,191.65
83.77,198.0
98.91,182.27
88.24,131.82
187.58,197.76
109.81,168.74
67.26,8.73
145.49,12.97
184.08,94.53
103.8,118.9
182.91,64.19
173.58,71.89
199.03,76.93
83.96,195.59
158.12,88.81
21.69,33.92
166.84,68.37
35.51,179.57
145.03,197.4
122.67,178.85
63.52,190.3
49.94,191.06
163.95,3.45
15.49,55.32
7.41,110.62
19.12,96.3
129.27,50.59
183.87,65.75
67.06,87.1
78.3,142.0
57.99,74.64
4.74,153.89
37.26,36.04
174.96,65.71
17.33,133.67
44.3,150.53
50.85,13.86
45.38,10.11
61.39,47.8
100.24,83.91
114.78,187.06
143.28,186.62
12.2,62.73
85.85,37.35
143.59,192.41
181.8,28.53
41.41,145.58
137.62,188.81
118.04,30.71
70.81,15.73
141.5,98.25
57.14,44.82
194.67,91.39
59.68,58.89
102.86,198.07
124.34,101.56
137.54,153.88
88.86,104.26
112.6,162.56
180.55,46.7
141.53,108.74
168.22,34.67
196.06,136.48
169.79,141.45
25.74,121.43
96.9,198.15
14.42,116.94
193.59,168.05
3.38,60.69
79.39,21.22
148.68,175.39
